,Location,Indicator,Value,SurveyYearLabel,ind1,periode,sex,year,indicateur
695,Centre,Men: Total,100.0,2005-06,Men, Total,,2005,Men
696,South,Men: Total,100.0,2005-06,Men, Total,,2005,Men
697,Grande-Anse/Nippes,Men: Total,100.0,2005-06,Men, Total,,2005,Men
698,Grande-Anse,Men: Total,100.0,2005-06,Men, Total,,2005,Men
699,Nippes,Men: Total,100.0,2005-06,Men, Total,,2005,Men
700,North-West,Men: Total,100.0,2005-06,Men, Total,,2005,Men
701,Metropolitan area,Number of men,1016.0,2005-06,Number of men,,,2005,Number of men
702,Rest of West,Number of men,758.0,2005-06,Number of men,,,2005,Number of men
703,South-East,Number of men,227.0,2005-06,Number of men,,,2005,Number of men
704,North,Number of men,385.0,2005-06,Number of men,,,2005,Number of men
705,North-East,Number of men,146.0,2005-06,Number of men,,,2005,Number of men
706,Artibonite,Number of men,754.0,2005-06,Number of men,,,2005,Number of men
707,Centre,Number of men,331.0,2005-06,Number of men,,,2005,Number of men
708,South,Number of men,299.0,2005-06,Number of men,,,2005,Number of men
709,Grande-Anse/Nippes,Number of men,287.0,2005-06,Number of men,,,2005,Number of men
710,Grande-Anse,Number of men,179.0,2005-06,Number of men,,,2005,Number of men
711,Nippes,Number of men,109.0,2005-06,Number of men,,,2005,Number of men
712,North-West,Number of men,233.0,2005-06,Number of men,,,2005,Number of men
713,Metropolitan area,Number of men (unweighted),616.0,2005-06,Number of men (unweighted),,,2005,Number of men (unweighted)
714,Rest of West,Number of men (unweighted),416.0,2005-06,Number of men (unweighted),,,2005,Number of men (unweighted)
715,South-East,Number of men (unweighted),346.0,2005-06,Number of men (unweighted),,,2005,Number of men (unweighted)
716,North,Number of men (unweighted),371.0,2005-06,Number of men (unweighted),,,2005,Number of men (unweighted)
717,North-East,Number of men (unweighted),382.0,2005-06,Number of men (unweighted),,,2005,Number of men (unweighted)
718,Artibonite,Number of men (unweighted),415.0,2005-06,Number of men (unweighted),,,2005,Number of men (unweighted)
719,Centre,Number of men (unweighted),358.0,2005-06,Number of men (unweighted),,,2005,Number of men (unweighted)
720,South,Number of men (unweighted),384.0,2005-06,Number of men (unweighted),,,2005,Number of men (unweighted)
721,Grande-Anse/Nippes,Number of men (unweighted),720.0,2005-06,Number of men (unweighted),,,2005,Number of men (unweighted)
722,Grande-Anse,Number of men (unweighted),396.0,2005-06,Number of men (unweighted),,,2005,Number of men (unweighted)
723,Nippes,Number of men (unweighted),324.0,2005-06,Number of men (unweighted),,,2005,Number of men (unweighted)
724,North-West,Number of men (unweighted),378.0,2005-06,Number of men (unweighted),,,2005,Number of men (unweighted)
725,Metropolitan area,Median age at first sexual intercourse [Women]: 20-24,18.4,2012,Median age at first sexual intercourse [Women], 20-24,Women,2012,Median age at first sexual intercourse 
726,Rest of West,Median age at first sexual intercourse [Women]: 20-24,18.1,2012,Median age at first sexual intercourse [Women], 20-24,Women,2012,Median age at first sexual intercourse 
727,South-East,Median age at first sexual intercourse [Women]: 20-24,18.2,2012,Median age at first sexual intercourse [Women], 20-24,Women,2012,Median age at first sexual intercourse 
728,North,Median age at first sexual intercourse [Women]: 20-24,17.5,2012,Median age at first sexual intercourse [Women], 20-24,Women,2012,Median age at first sexual intercourse 
729,North-East,Median age at first sexual intercourse [Women]: 20-24,17.7,2012,Median age at first sexual intercourse [Women], 20-24,Women,2012,Median age at first sexual intercourse 
730,Artibonite,Median age at first sexual intercourse [Women]: 20-24,17.8,2012,Median age at first sexual intercourse [Women], 20-24,Women,2012,Median age at first sexual intercourse 
731,Centre,Median age at first sexual intercourse [Women]: 20-24,17.6,2012,Median age at first sexual intercourse [Women], 20-24,Women,2012,Median age at first sexual intercourse 
732,South,Median age at first sexual intercourse [Women]: 20-24,17.0,2012,Median age at first sexual intercourse [Women], 20-24,Women,2012,Median age at first sexual intercourse 
733,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 20-24,17.2,2012,Median age at first sexual intercourse [Women], 20-24,Women,2012,Median age at first sexual intercourse 
734,Grande-Anse,Median age at first sexual intercourse [Women]: 20-24,17.9,2012,Median age at first sexual intercourse [Women], 20-24,Women,2012,Median age at first sexual intercourse 
735,Nippes,Median age at first sexual intercourse [Women]: 20-24,16.6,2012,Median age at first sexual intercourse [Women], 20-24,Women,2012,Median age at first sexual intercourse 
736,North-West,Median age at first sexual intercourse [Women]: 20-24,17.8,2012,Median age at first sexual intercourse [Women], 20-24,Women,2012,Median age at first sexual intercourse 
737,Camps,Median age at first sexual intercourse [Women]: 20-24,16.9,2012,Median age at first sexual intercourse [Women], 20-24,Women,2012,Median age at first sexual intercourse 
738,Metropolitan area,Median age at first sexual intercourse [Women]: 25-29,18.3,2012,Median age at first sexual intercourse [Women], 25-29,Women,2012,Median age at first sexual intercourse 
739,Rest of West,Median age at first sexual intercourse [Women]: 25-29,18.1,2012,Median age at first sexual intercourse [Women], 25-29,Women,2012,Median age at first sexual intercourse 
740,South-East,Median age at first sexual intercourse [Women]: 25-29,18.0,2012,Median age at first sexual intercourse [Women], 25-29,Women,2012,Median age at first sexual intercourse 
741,North,Median age at first sexual intercourse [Women]: 25-29,17.9,2012,Median age at first sexual intercourse [Women], 25-29,Women,2012,Median age at first sexual intercourse 
742,North-East,Median age at first sexual intercourse [Women]: 25-29,17.9,2012,Median age at first sexual intercourse [Women], 25-29,Women,2012,Median age at first sexual intercourse 
743,Artibonite,Median age at first sexual intercourse [Women]: 25-29,17.6,2012,Median age at first sexual intercourse [Women], 25-29,Women,2012,Median age at first sexual intercourse 
744,Centre,Median age at first sexual intercourse [Women]: 25-29,17.6,2012,Median age at first sexual intercourse [Women], 25-29,Women,2012,Median age at first sexual intercourse 
745,South,Median age at first sexual intercourse [Women]: 25-29,17.7,2012,Median age at first sexual intercourse [Women], 25-29,Women,2012,Median age at first sexual intercourse 
746,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 25-29,17.0,2012,Median age at first sexual intercourse [Women], 25-29,Women,2012,Median age at first sexual intercourse 
747,Grande-Anse,Median age at first sexual intercourse [Women]: 25-29,16.8,2012,Median age at first sexual intercourse [Women], 25-29,Women,2012,Median age at first sexual intercourse 
748,Nippes,Median age at first sexual intercourse [Women]: 25-29,17.2,2012,Median age at first sexual intercourse [Women], 25-29,Women,2012,Median age at first sexual intercourse 
749,North-West,Median age at first sexual intercourse [Women]: 25-29,17.9,2012,Median age at first sexual intercourse [Women], 25-29,Women,2012,Median age at first sexual intercourse 
750,Camps,Median age at first sexual intercourse [Women]: 25-29,17.2,2012,Median age at first sexual intercourse [Women], 25-29,Women,2012,Median age at first sexual intercourse 
751,Metropolitan area,Median age at first sexual intercourse [Women]: 30-34,18.2,2012,Median age at first sexual intercourse [Women], 30-34,Women,2012,Median age at first sexual intercourse 
752,Rest of West,Median age at first sexual intercourse [Women]: 30-34,18.3,2012,Median age at first sexual intercourse [Women], 30-34,Women,2012,Median age at first sexual intercourse 
753,South-East,Median age at first sexual intercourse [Women]: 30-34,17.9,2012,Median age at first sexual intercourse [Women], 30-34,Women,2012,Median age at first sexual intercourse 
754,North,Median age at first sexual intercourse [Women]: 30-34,17.9,2012,Median age at first sexual intercourse [Women], 30-34,Women,2012,Median age at first sexual intercourse 
755,North-East,Median age at first sexual intercourse [Women]: 30-34,18.2,2012,Median age at first sexual intercourse [Women], 30-34,Women,2012,Median age at first sexual intercourse 
756,Artibonite,Median age at first sexual intercourse [Women]: 30-34,17.9,2012,Median age at first sexual intercourse [Women], 30-34,Women,2012,Median age at first sexual intercourse 
757,Centre,Median age at first sexual intercourse [Women]: 30-34,18.2,2012,Median age at first sexual intercourse [Women], 30-34,Women,2012,Median age at first sexual intercourse 
758,South,Median age at first sexual intercourse [Women]: 30-34,17.3,2012,Median age at first sexual intercourse [Women], 30-34,Women,2012,Median age at first sexual intercourse 
759,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 30-34,16.9,2012,Median age at first sexual intercourse [Women], 30-34,Women,2012,Median age at first sexual intercourse 
760,Grande-Anse,Median age at first sexual intercourse [Women]: 30-34,17.0,2012,Median age at first sexual intercourse [Women], 30-34,Women,2012,Median age at first sexual intercourse 
761,Nippes,Median age at first sexual intercourse [Women]: 30-34,16.8,2012,Median age at first sexual intercourse [Women], 30-34,Women,2012,Median age at first sexual intercourse 
762,North-West,Median age at first sexual intercourse [Women]: 30-34,17.3,2012,Median age at first sexual intercourse [Women], 30-34,Women,2012,Median age at first sexual intercourse 
763,Camps,Median age at first sexual intercourse [Women]: 30-34,17.3,2012,Median age at first sexual intercourse [Women], 30-34,Women,2012,Median age at first sexual intercourse 
764,Metropolitan area,Median age at first sexual intercourse [Women]: 35-39,18.4,2012,Median age at first sexual intercourse [Women], 35-39,Women,2012,Median age at first sexual intercourse 
765,Rest of West,Median age at first sexual intercourse [Women]: 35-39,17.7,2012,Median age at first sexual intercourse [Women], 35-39,Women,2012,Median age at first sexual intercourse 
766,South-East,Median age at first sexual intercourse [Women]: 35-39,18.0,2012,Median age at first sexual intercourse [Women], 35-39,Women,2012,Median age at first sexual intercourse 
767,North,Median age at first sexual intercourse [Women]: 35-39,17.7,2012,Median age at first sexual intercourse [Women], 35-39,Women,2012,Median age at first sexual intercourse 
768,North-East,Median age at first sexual intercourse [Women]: 35-39,17.8,2012,Median age at first sexual intercourse [Women], 35-39,Women,2012,Median age at first sexual intercourse 
769,Artibonite,Median age at first sexual intercourse [Women]: 35-39,17.8,2012,Median age at first sexual intercourse [Women], 35-39,Women,2012,Median age at first sexual intercourse 
770,Centre,Median age at first sexual intercourse [Women]: 35-39,16.8,2012,Median age at first sexual intercourse [Women], 35-39,Women,2012,Median age at first sexual intercourse 
771,South,Median age at first sexual intercourse [Women]: 35-39,17.5,2012,Median age at first sexual intercourse [Women], 35-39,Women,2012,Median age at first sexual intercourse 
772,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 35-39,17.2,2012,Median age at first sexual intercourse [Women], 35-39,Women,2012,Median age at first sexual intercourse 
773,Grande-Anse,Median age at first sexual intercourse [Women]: 35-39,17.2,2012,Median age at first sexual intercourse [Women], 35-39,Women,2012,Median age at first sexual intercourse 
774,Nippes,Median age at first sexual intercourse [Women]: 35-39,17.1,2012,Median age at first sexual intercourse [Women], 35-39,Women,2012,Median age at first sexual intercourse 
775,North-West,Median age at first sexual intercourse [Women]: 35-39,18.4,2012,Median age at first sexual intercourse [Women], 35-39,Women,2012,Median age at first sexual intercourse 
776,Camps,Median age at first sexual intercourse [Women]: 35-39,17.8,2012,Median age at first sexual intercourse [Women], 35-39,Women,2012,Median age at first sexual intercourse 
777,Metropolitan area,Median age at first sexual intercourse [Women]: 40-44,19.1,2012,Median age at first sexual intercourse [Women], 40-44,Women,2012,Median age at first sexual intercourse 
778,Rest of West,Median age at first sexual intercourse [Women]: 40-44,18.5,2012,Median age at first sexual intercourse [Women], 40-44,Women,2012,Median age at first sexual intercourse 
779,South-East,Median age at first sexual intercourse [Women]: 40-44,17.8,2012,Median age at first sexual intercourse [Women], 40-44,Women,2012,Median age at first sexual intercourse 
780,North,Median age at first sexual intercourse [Women]: 40-44,18.6,2012,Median age at first sexual intercourse [Women], 40-44,Women,2012,Median age at first sexual intercourse 
781,North-East,Median age at first sexual intercourse [Women]: 40-44,19.5,2012,Median age at first sexual intercourse [Women], 40-44,Women,2012,Median age at first sexual intercourse 
782,Artibonite,Median age at first sexual intercourse [Women]: 40-44,17.7,2012,Median age at first sexual intercourse [Women], 40-44,Women,2012,Median age at first sexual intercourse 
783,Centre,Median age at first sexual intercourse [Women]: 40-44,16.8,2012,Median age at first sexual intercourse [Women], 40-44,Women,2012,Median age at first sexual intercourse 
784,South,Median age at first sexual intercourse [Women]: 40-44,18.5,2012,Median age at first sexual intercourse [Women], 40-44,Women,2012,Median age at first sexual intercourse 
785,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 40-44,17.5,2012,Median age at first sexual intercourse [Women], 40-44,Women,2012,Median age at first sexual intercourse 
786,Grande-Anse,Median age at first sexual intercourse [Women]: 40-44,18.1,2012,Median age at first sexual intercourse [Women], 40-44,Women,2012,Median age at first sexual intercourse 
787,Nippes,Median age at first sexual intercourse [Women]: 40-44,17.1,2012,Median age at first sexual intercourse [Women], 40-44,Women,2012,Median age at first sexual intercourse 
788,North-West,Median age at first sexual intercourse [Women]: 40-44,18.4,2012,Median age at first sexual intercourse [Women], 40-44,Women,2012,Median age at first sexual intercourse 
789,Camps,Median age at first sexual intercourse [Women]: 40-44,17.5,2012,Median age at first sexual intercourse [Women], 40-44,Women,2012,Median age at first sexual intercourse 
790,Metropolitan area,Median age at first sexual intercourse [Women]: 45-49,19.6,2012,Median age at first sexual intercourse [Women], 45-49,Women,2012,Median age at first sexual intercourse 
791,Rest of West,Median age at first sexual intercourse [Women]: 45-49,17.1,2012,Median age at first sexual intercourse [Women], 45-49,Women,2012,Median age at first sexual intercourse 
792,South-East,Median age at first sexual intercourse [Women]: 45-49,18.1,2012,Median age at first sexual intercourse [Women], 45-49,Women,2012,Median age at first sexual intercourse 
793,North,Median age at first sexual intercourse [Women]: 45-49,18.6,2012,Median age at first sexual intercourse [Women], 45-49,Women,2012,Median age at first sexual intercourse 
794,North-East,Median age at first sexual intercourse [Women]: 45-49,18.6,2012,Median age at first sexual intercourse [Women], 45-49,Women,2012,Median age at first sexual intercourse 
795,Artibonite,Median age at first sexual intercourse [Women]: 45-49,18.6,2012,Median age at first sexual intercourse [Women], 45-49,Women,2012,Median age at first sexual intercourse 
796,Centre,Median age at first sexual intercourse [Women]: 45-49,18.4,2012,Median age at first sexual intercourse [Women], 45-49,Women,2012,Median age at first sexual intercourse 
797,South,Median age at first sexual intercourse [Women]: 45-49,17.9,2012,Median age at first sexual intercourse [Women], 45-49,Women,2012,Median age at first sexual intercourse 
798,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 45-49,17.4,2012,Median age at first sexual intercourse [Women], 45-49,Women,2012,Median age at first sexual intercourse 
799,Grande-Anse,Median age at first sexual intercourse [Women]: 45-49,17.8,2012,Median age at first sexual intercourse [Women], 45-49,Women,2012,Median age at first sexual intercourse 
800,Nippes,Median age at first sexual intercourse [Women]: 45-49,16.7,2012,Median age at first sexual intercourse [Women], 45-49,Women,2012,Median age at first sexual intercourse 
801,North-West,Median age at first sexual intercourse [Women]: 45-49,18.2,2012,Median age at first sexual intercourse [Women], 45-49,Women,2012,Median age at first sexual intercourse 
802,Camps,Median age at first sexual intercourse [Women]: 45-49,17.5,2012,Median age at first sexual intercourse [Women], 45-49,Women,2012,Median age at first sexual intercourse 
803,Metropolitan area,Median age at first sexual intercourse [Women]: 20-49,18.5,2012,Median age at first sexual intercourse [Women], 20-49,Women,2012,Median age at first sexual intercourse 
804,Rest of West,Median age at first sexual intercourse [Women]: 20-49,18.0,2012,Median age at first sexual intercourse [Women], 20-49,Women,2012,Median age at first sexual intercourse 
805,South-East,Median age at first sexual intercourse [Women]: 20-49,18.0,2012,Median age at first sexual intercourse [Women], 20-49,Women,2012,Median age at first sexual intercourse 
806,North,Median age at first sexual intercourse [Women]: 20-49,17.9,2012,Median age at first sexual intercourse [Women], 20-49,Women,2012,Median age at first sexual intercourse 
807,North-East,Median age at first sexual intercourse [Women]: 20-49,18.1,2012,Median age at first sexual intercourse [Women], 20-49,Women,2012,Median age at first sexual intercourse 
808,Artibonite,Median age at first sexual intercourse [Women]: 20-49,17.8,2012,Median age at first sexual intercourse [Women], 20-49,Women,2012,Median age at first sexual intercourse 
809,Centre,Median age at first sexual intercourse [Women]: 20-49,17.6,2012,Median age at first sexual intercourse [Women], 20-49,Women,2012,Median age at first sexual intercourse 
810,South,Median age at first sexual intercourse [Women]: 20-49,17.5,2012,Median age at first sexual intercourse [Women], 20-49,Women,2012,Median age at first sexual intercourse 
811,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 20-49,17.1,2012,Median age at first sexual intercourse [Women], 20-49,Women,2012,Median age at first sexual intercourse 
812,Grande-Anse,Median age at first sexual intercourse [Women]: 20-49,17.5,2012,Median age at first sexual intercourse [Women], 20-49,Women,2012,Median age at first sexual intercourse 
813,Nippes,Median age at first sexual intercourse [Women]: 20-49,16.9,2012,Median age at first sexual intercourse [Women], 20-49,Women,2012,Median age at first sexual intercourse 
814,North-West,Median age at first sexual intercourse [Women]: 20-49,17.9,2012,Median age at first sexual intercourse [Women], 20-49,Women,2012,Median age at first sexual intercourse 
815,Camps,Median age at first sexual intercourse [Women]: 20-49,17.2,2012,Median age at first sexual intercourse [Women], 20-49,Women,2012,Median age at first sexual intercourse 
816,Metropolitan area,Median age at first sexual intercourse [Women]: 25-49,18.5,2012,Median age at first sexual intercourse [Women], 25-49,Women,2012,Median age at first sexual intercourse 
817,Rest of West,Median age at first sexual intercourse [Women]: 25-49,18.0,2012,Median age at first sexual intercourse [Women], 25-49,Women,2012,Median age at first sexual intercourse 
818,South-East,Median age at first sexual intercourse [Women]: 25-49,17.9,2012,Median age at first sexual intercourse [Women], 25-49,Women,2012,Median age at first sexual intercourse 
819,North,Median age at first sexual intercourse [Women]: 25-49,18.0,2012,Median age at first sexual intercourse [Women], 25-49,Women,2012,Median age at first sexual intercourse 
820,North-East,Median age at first sexual intercourse [Women]: 25-49,18.3,2012,Median age at first sexual intercourse [Women], 25-49,Women,2012,Median age at first sexual intercourse 
821,Artibonite,Median age at first sexual intercourse [Women]: 25-49,17.8,2012,Median age at first sexual intercourse [Women], 25-49,Women,2012,Median age at first sexual intercourse 
822,Centre,Median age at first sexual intercourse [Women]: 25-49,17.6,2012,Median age at first sexual intercourse [Women], 25-49,Women,2012,Median age at first sexual intercourse 
823,South,Median age at first sexual intercourse [Women]: 25-49,17.7,2012,Median age at first sexual intercourse [Women], 25-49,Women,2012,Median age at first sexual intercourse 
824,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 25-49,17.1,2012,Median age at first sexual intercourse [Women], 25-49,Women,2012,Median age at first sexual intercourse 
825,Grande-Anse,Median age at first sexual intercourse [Women]: 25-49,17.3,2012,Median age at first sexual intercourse [Women], 25-49,Women,2012,Median age at first sexual intercourse 
826,Nippes,Median age at first sexual intercourse [Women]: 25-49,17.0,2012,Median age at first sexual intercourse [Women], 25-49,Women,2012,Median age at first sexual intercourse 
827,North-West,Median age at first sexual intercourse [Women]: 25-49,18.0,2012,Median age at first sexual intercourse [Women], 25-49,Women,2012,Median age at first sexual intercourse 
828,Camps,Median age at first sexual intercourse [Women]: 25-49,17.4,2012,Median age at first sexual intercourse [Women], 25-49,Women,2012,Median age at first sexual intercourse 
829,Metropolitan area,Median age at first sexual intercourse [Men]: 20-24,15.7,2012,Median age at first sexual intercourse [Men], 20-24,Men,2012,Median age at first sexual intercourse 
830,Rest of West,Median age at first sexual intercourse [Men]: 20-24,16.3,2012,Median age at first sexual intercourse [Men], 20-24,Men,2012,Median age at first sexual intercourse 
831,South-East,Median age at first sexual intercourse [Men]: 20-24,15.9,2012,Median age at first sexual intercourse [Men], 20-24,Men,2012,Median age at first sexual intercourse 
832,North,Median age at first sexual intercourse [Men]: 20-24,15.8,2012,Median age at first sexual intercourse [Men], 20-24,Men,2012,Median age at first sexual intercourse 
833,North-East,Median age at first sexual intercourse [Men]: 20-24,15.6,2012,Median age at first sexual intercourse [Men], 20-24,Men,2012,Median age at first sexual intercourse 
834,Artibonite,Median age at first sexual intercourse [Men]: 20-24,16.3,2012,Median age at first sexual intercourse [Men], 20-24,Men,2012,Median age at first sexual intercourse 
835,Centre,Median age at first sexual intercourse [Men]: 20-24,15.8,2012,Median age at first sexual intercourse [Men], 20-24,Men,2012,Median age at first sexual intercourse 
836,South,Median age at first sexual intercourse [Men]: 20-24,15.5,2012,Median age at first sexual intercourse [Men], 20-24,Men,2012,Median age at first sexual intercourse 
837,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 20-24,15.9,2012,Median age at first sexual intercourse [Men], 20-24,Men,2012,Median age at first sexual intercourse 
838,Grande-Anse,Median age at first sexual intercourse [Men]: 20-24,16.1,2012,Median age at first sexual intercourse [Men], 20-24,Men,2012,Median age at first sexual intercourse 
839,Nippes,Median age at first sexual intercourse [Men]: 20-24,15.7,2012,Median age at first sexual intercourse [Men], 20-24,Men,2012,Median age at first sexual intercourse 
840,North-West,Median age at first sexual intercourse [Men]: 20-24,15.5,2012,Median age at first sexual intercourse [Men], 20-24,Men,2012,Median age at first sexual intercourse 
841,Camps,Median age at first sexual intercourse [Men]: 20-24,15.4,2012,Median age at first sexual intercourse [Men], 20-24,Men,2012,Median age at first sexual intercourse 
842,Metropolitan area,Median age at first sexual intercourse [Men]: 25-29,15.7,2012,Median age at first sexual intercourse [Men], 25-29,Men,2012,Median age at first sexual intercourse 
843,Rest of West,Median age at first sexual intercourse [Men]: 25-29,16.6,2012,Median age at first sexual intercourse [Men], 25-29,Men,2012,Median age at first sexual intercourse 
844,South-East,Median age at first sexual intercourse [Men]: 25-29,16.0,2012,Median age at first sexual intercourse [Men], 25-29,Men,2012,Median age at first sexual intercourse 
845,North,Median age at first sexual intercourse [Men]: 25-29,15.6,2012,Median age at first sexual intercourse [Men], 25-29,Men,2012,Median age at first sexual intercourse 
846,North-East,Median age at first sexual intercourse [Men]: 25-29,16.9,2012,Median age at first sexual intercourse [Men], 25-29,Men,2012,Median age at first sexual intercourse 
847,Artibonite,Median age at first sexual intercourse [Men]: 25-29,16.4,2012,Median age at first sexual intercourse [Men], 25-29,Men,2012,Median age at first sexual intercourse 
848,Centre,Median age at first sexual intercourse [Men]: 25-29,16.6,2012,Median age at first sexual intercourse [Men], 25-29,Men,2012,Median age at first sexual intercourse 
849,South,Median age at first sexual intercourse [Men]: 25-29,15.9,2012,Median age at first sexual intercourse [Men], 25-29,Men,2012,Median age at first sexual intercourse 
850,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 25-29,15.8,2012,Median age at first sexual intercourse [Men], 25-29,Men,2012,Median age at first sexual intercourse 
851,Grande-Anse,Median age at first sexual intercourse [Men]: 25-29,15.9,2012,Median age at first sexual intercourse [Men], 25-29,Men,2012,Median age at first sexual intercourse 
852,Nippes,Median age at first sexual intercourse [Men]: 25-29,15.7,2012,Median age at first sexual intercourse [Men], 25-29,Men,2012,Median age at first sexual intercourse 
853,North-West,Median age at first sexual intercourse [Men]: 25-29,15.9,2012,Median age at first sexual intercourse [Men], 25-29,Men,2012,Median age at first sexual intercourse 
854,Camps,Median age at first sexual intercourse [Men]: 25-29,15.3,2012,Median age at first sexual intercourse [Men], 25-29,Men,2012,Median age at first sexual intercourse 
855,Metropolitan area,Median age at first sexual intercourse [Men]: 30-34,16.3,2012,Median age at first sexual intercourse [Men], 30-34,Men,2012,Median age at first sexual intercourse 
856,Rest of West,Median age at first sexual intercourse [Men]: 30-34,16.6,2012,Median age at first sexual intercourse [Men], 30-34,Men,2012,Median age at first sexual intercourse 
857,South-East,Median age at first sexual intercourse [Men]: 30-34,16.3,2012,Median age at first sexual intercourse [Men], 30-34,Men,2012,Median age at first sexual intercourse 
858,North,Median age at first sexual intercourse [Men]: 30-34,15.9,2012,Median age at first sexual intercourse [Men], 30-34,Men,2012,Median age at first sexual intercourse 
859,North-East,Median age at first sexual intercourse [Men]: 30-34,16.9,2012,Median age at first sexual intercourse [Men], 30-34,Men,2012,Median age at first sexual intercourse 
860,Artibonite,Median age at first sexual intercourse [Men]: 30-34,16.7,2012,Median age at first sexual intercourse [Men], 30-34,Men,2012,Median age at first sexual intercourse 
861,Centre,Median age at first sexual intercourse [Men]: 30-34,16.0,2012,Median age at first sexual intercourse [Men], 30-34,Men,2012,Median age at first sexual intercourse 
862,South,Median age at first sexual intercourse [Men]: 30-34,16.5,2012,Median age at first sexual intercourse [Men], 30-34,Men,2012,Median age at first sexual intercourse 
863,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 30-34,16.2,2012,Median age at first sexual intercourse [Men], 30-34,Men,2012,Median age at first sexual intercourse 
864,Grande-Anse,Median age at first sexual intercourse [Men]: 30-34,16.3,2012,Median age at first sexual intercourse [Men], 30-34,Men,2012,Median age at first sexual intercourse 
865,Nippes,Median age at first sexual intercourse [Men]: 30-34,16.1,2012,Median age at first sexual intercourse [Men], 30-34,Men,2012,Median age at first sexual intercourse 
866,North-West,Median age at first sexual intercourse [Men]: 30-34,16.8,2012,Median age at first sexual intercourse [Men], 30-34,Men,2012,Median age at first sexual intercourse 
867,Camps,Median age at first sexual intercourse [Men]: 30-34,15.9,2012,Median age at first sexual intercourse [Men], 30-34,Men,2012,Median age at first sexual intercourse 
868,Metropolitan area,Median age at first sexual intercourse [Men]: 35-39,16.3,2012,Median age at first sexual intercourse [Men], 35-39,Men,2012,Median age at first sexual intercourse 
869,Rest of West,Median age at first sexual intercourse [Men]: 35-39,16.8,2012,Median age at first sexual intercourse [Men], 35-39,Men,2012,Median age at first sexual intercourse 
870,South-East,Median age at first sexual intercourse [Men]: 35-39,16.0,2012,Median age at first sexual intercourse [Men], 35-39,Men,2012,Median age at first sexual intercourse 
871,North,Median age at first sexual intercourse [Men]: 35-39,16.6,2012,Median age at first sexual intercourse [Men], 35-39,Men,2012,Median age at first sexual intercourse 
872,North-East,Median age at first sexual intercourse [Men]: 35-39,17.2,2012,Median age at first sexual intercourse [Men], 35-39,Men,2012,Median age at first sexual intercourse 
873,Artibonite,Median age at first sexual intercourse [Men]: 35-39,16.5,2012,Median age at first sexual intercourse [Men], 35-39,Men,2012,Median age at first sexual intercourse 
874,Centre,Median age at first sexual intercourse [Men]: 35-39,17.2,2012,Median age at first sexual intercourse [Men], 35-39,Men,2012,Median age at first sexual intercourse 
875,South,Median age at first sexual intercourse [Men]: 35-39,16.2,2012,Median age at first sexual intercourse [Men], 35-39,Men,2012,Median age at first sexual intercourse 
876,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 35-39,16.5,2012,Median age at first sexual intercourse [Men], 35-39,Men,2012,Median age at first sexual intercourse 
877,Grande-Anse,Median age at first sexual intercourse [Men]: 35-39,15.9,2012,Median age at first sexual intercourse [Men], 35-39,Men,2012,Median age at first sexual intercourse 
878,Nippes,Median age at first sexual intercourse [Men]: 35-39,17.1,2012,Median age at first sexual intercourse [Men], 35-39,Men,2012,Median age at first sexual intercourse 
879,North-West,Median age at first sexual intercourse [Men]: 35-39,16.1,2012,Median age at first sexual intercourse [Men], 35-39,Men,2012,Median age at first sexual intercourse 
880,Camps,Median age at first sexual intercourse [Men]: 35-39,15.8,2012,Median age at first sexual intercourse [Men], 35-39,Men,2012,Median age at first sexual intercourse 
881,Metropolitan area,Median age at first sexual intercourse [Men]: 40-44,16.7,2012,Median age at first sexual intercourse [Men], 40-44,Men,2012,Median age at first sexual intercourse 
882,Rest of West,Median age at first sexual intercourse [Men]: 40-44,16.7,2012,Median age at first sexual intercourse [Men], 40-44,Men,2012,Median age at first sexual intercourse 
883,South-East,Median age at first sexual intercourse [Men]: 40-44,16.9,2012,Median age at first sexual intercourse [Men], 40-44,Men,2012,Median age at first sexual intercourse 
884,North,Median age at first sexual intercourse [Men]: 40-44,16.5,2012,Median age at first sexual intercourse [Men], 40-44,Men,2012,Median age at first sexual intercourse 
885,North-East,Median age at first sexual intercourse [Men]: 40-44,18.0,2012,Median age at first sexual intercourse [Men], 40-44,Men,2012,Median age at first sexual intercourse 
886,Artibonite,Median age at first sexual intercourse [Men]: 40-44,17.4,2012,Median age at first sexual intercourse [Men], 40-44,Men,2012,Median age at first sexual intercourse 
887,Centre,Median age at first sexual intercourse [Men]: 40-44,17.5,2012,Median age at first sexual intercourse [Men], 40-44,Men,2012,Median age at first sexual intercourse 
